GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
homework2,edu.postech.csed332.homework2,Element,0,10,0,0,0,4,0,3,0,3
homework2,edu.postech.csed332.homework2,Book,0,94,0,4,0,27,0,8,0,6
homework2,edu.postech.csed332.homework2,Library,6,264,0,30,4,58,0,24,0,9
homework2,edu.postech.csed332.homework2,Collection,0,157,0,12,0,40,0,13,0,7
